id,username,date,time,tweet,place,geo,replies_count,retweets_count,likes_count,mentions
1219878357279444993,turnbullmalcolm,2020-01-22,15:03:59,"The NEG wasn’t abandoned by my Govt. Given a minority of our MPs were threatening to cross the floor and vote it down, Cabinet resolved to retain the policy but not submit the Bill until we were more confident of the numbers. It was formally abandoned by the Morrison Govt.",,,55,77,189,['bbcworld']
1219564917641998338,turnbullmalcolm,2020-01-21,18:18:29,Single-use plastic: China to ban bags and other items - BBC News https://www.bbc.com/news/world-asia-china-51171491 …,,,41,83,537,[]
1219354648089284609,turnbullmalcolm,2020-01-21,04:22:57,“To deliver green solutions and help leapfrog coal.” This is the policy of the Conservative government of @BorisJohnson https://twitter.com/beisgovuk/status/1219353997351493635 …,,,73,120,450,['borisjohnson']
1218323584797462528,turnbullmalcolm,2020-01-18,08:05:52,"“We say emissions are going down and they are going up. We say investment in renewables is higher than ever but it's falling because of the policy mess we have created,"" one Liberal MP said.  “It is little wonder we have no credibility on this issue."" https://www.smh.com.au/politics/federal/can-scott-morrison-seize-this-watershed-moment-for-climate-policy-20200117-p53se6.html …",,,460,1197,3838,[]
1217626728245256192,turnbullmalcolm,2020-01-16,09:56:49,Thank you!,,,10,0,20,['emz_townsend']
1217621727150104579,turnbullmalcolm,2020-01-16,09:36:56,Australia’s Bushfires Show Climate Denialism Must Stop | Time https://time.com/5765603/australia-bushfires-prime-minister-essay/ …,,,594,683,2278,[]
1217303143190429698,turnbullmalcolm,2020-01-15,12:31:00,You mean like Hawke and Keating who allowed him to buy the Herald & Weekly Times and this most of the australian newspaper market?,,,6,0,8,['jen04']
1217265556467765250,turnbullmalcolm,2020-01-15,10:01:39,James Murdoch's criticism of News Corp's climate change coverage shows conflict at top of family tree https://www.smh.com.au/world/north-america/james-murdoch-shows-news-corp-climate-criticism-goes-to-top-of-family-tree-20200115-p53rja.html …,,,72,116,505,[]
1217263496846401537,turnbullmalcolm,2020-01-15,09:53:27,"The Australian says it accepts climate science, so why does it give a platform to 'outright falsehoods'? https://www.theguardian.com/media/2020/jan/15/the-australian-says-it-accepts-climate-science-so-why-does-it-give-a-platform-to-outright-falsehoods?CMP=Share_iOSApp_Other …",,,209,516,1923,[]
1217243565035667457,turnbullmalcolm,2020-01-15,08:34:15,James Murdoch criticises father's news outlets for climate crisis denial https://www.theguardian.com/media/2020/jan/14/james-murdoch-criticises-fathers-news-outlets-for-climate-crisis-denial?CMP=Share_iOSApp_Other …,,,50,96,409,[]
1216992955648491520,turnbullmalcolm,2020-01-14,15:58:25,"Will, thank you for your service to Tasmania and Australia. I enjoyed working with you over the years especially on the “battery of the nation” project which will supercharge Tasmania as a clean energy powerhouse. All the best to you, Nicola & your children post politics! https://twitter.com/WillHodgman/status/1216968987952611329 …",,,15,20,190,[]
1216883903199203328,turnbullmalcolm,2020-01-14,08:45:05,Ocean temperatures hit record high as rate of heating accelerates https://www.theguardian.com/environment/2020/jan/13/ocean-temperatures-hit-record-high-as-rate-of-heating-accelerates?CMP=Share_iOSApp_Other …,,,243,291,717,[]
1216735146730082305,turnbullmalcolm,2020-01-13,22:53:59,Government energy adviser calls for 'national leadership' on emissions https://www.smh.com.au/politics/federal/government-energy-adviser-calls-for-national-leadership-on-emissions-20200113-p53r2a.html …,,,18,33,111,[]
1216670332779560962,turnbullmalcolm,2020-01-13,18:36:26,Australia fires: Scott Morrison urged by business leaders to lead on climate policy https://www.smh.com.au/business/the-economy/port-arthur-moment-business-urges-pm-to-lead-on-climate-amid-bushfire-crisis-20200113-p53qzq.html …,,,125,211,930,[]
1216666167370059776,turnbullmalcolm,2020-01-13,18:19:53,Quite the contrary actually. The NEG was a market based mechanism the CET like the RET worked outside the electricity market.,,,9,4,17,"['simonahac', 'alankohler']"
1216594973874765825,turnbullmalcolm,2020-01-13,13:36:59,"Australia, Fiji's prayers are with you but we know they aren't enough to fight the climate crisis | Frank Bainimarama https://www.theguardian.com/world/commentisfree/2020/jan/07/australia-fijis-prayers-are-with-you-but-we-know-they-arent-enough-to-fight-the-climate-crisis?CMP=share_btn_tw …",,,63,134,541,[]
1216121542246944768,turnbullmalcolm,2020-01-12,06:15:44,Scott Morrison can't afford to waste the bushfire crisis when Australia urgently needs its own green new deal | Australian politics | The Guardian https://www.theguardian.com/australia-news/2020/jan/12/scott-morrison-cant-afford-to-waste-the-bushfire-crisis-when-australia-urgently-needs-its-own-green-new-deal …,,,750,1023,3820,[]
1215257524124839937,turnbullmalcolm,2020-01-09,21:02:26,"Springlike temperatures to surge across East this weekend, about 30 degrees above normal https://www.washingtonpost.com/weather/2020/01/08/springlike-temperatures-surge-over-eastern-us-this-weekend-some-30-degrees-above-normal/ …",,,34,54,191,[]
1214326144050139137,turnbullmalcolm,2020-01-07,07:21:28,They were not faceless,,,11,1,16,"['gregdixontweet', 'josiemcskimming', 'liberalaus', 'honjuliebishop']"
1214034771933687811,turnbullmalcolm,2020-01-06,12:03:39,The National Energy Guarantee was a cohérent integration of climate and energy policy. It was sabotaged by the right wing of the coalition and their supporters in the media and coal lobby and finally abandoned by Morrison Government. It should be reinstated now.,,,130,352,1025,"['josiemcskimming', 'liberalaus', 'honjuliebishop']"
